municipalityCode,population,populationAsOf,areaKm2,areaAsOf
16206,32349,2020-10-01,,
16207,39638,2020-10-01,,
16208,48154,2020-10-01,,
16209,28983,2020-10-01,,
16210,47937,2020-10-01,,
16211,90742,2020-10-01,,
16321,3132,2020-10-01,,
16322,19351,2020-10-01,,
16323,24792,2020-10-01,,
16342,23839,2020-10-01,,
16343,11081,2020-10-01,,
17201,463254,2020-10-01,,
17202,50300,2020-10-01,,
17203,106216,2020-10-01,,
17204,24608,2020-10-01,,
17205,12929,2020-10-01,,
17206,63220,2020-10-01,,
17207,20407,2020-10-01,,
17209,34889,2020-10-01,,
17210,110408,2020-10-01,,
17211,48523,2020-10-01,,
17212,57238,2020-10-01,,
17324,6135,2020-10-01,,
17361,36957,2020-10-01,,
17365,26574,2020-10-01,,
17384,18630,2020-10-01,,
17386,12121,2020-10-01,,
17407,16540,2020-10-01,,
17461,7890,2020-10-01,,
17463,15687,2020-10-01,,
18201,262328,2020-10-01,,
18202,64264,2020-10-01,,
18204,28991,2020-10-01,,
18205,31286,2020-10-01,,
18206,22150,2020-10-01,,
18207,68302,2020-10-01,,
18208,27524,2020-10-01,,
18209,80611,2020-10-01,,
18210,88481,2020-10-01,,
18322,18965,2020-10-01,,
18382,2423,2020-10-01,,
18404,10002,2020-10-01,,
18423,20118,2020-10-01,,
18442,9179,2020-10-01,,
18481,10326,2020-10-01,,
18483,7910,2020-10-01,,
18501,14003,2020-10-01,,
19201,189591,2020-10-01,,
19202,46530,2020-10-01,,
19204,31016,2020-10-01,,
19205,33435,2020-10-01,,
19206,22512,2020-10-01,,
19207,29067,2020-10-01,,
19208,69459,2020-10-01,,
19209,44053,2020-10-01,,
19210,75313,2020-10-01,,
19211,66947,2020-10-01,,
19212,22669,2020-10-01,,
19213,29237,2020-10-01,,
19214,31216,2020-10-01,,
19346,14700,2020-10-01,,
19364,1098,2020-10-01,,
19365,10663,2020-10-01,,
19366,7156,2020-10-01,,
19368,14219,2020-10-01,,
19384,20909,2020-10-01,,
19422,1607,2020-10-01,,
19423,4041,2020-10-01,,
19424,9237,2020-10-01,,
19425,5179,2020-10-01,,
19429,2824,2020-10-01,,
19430,26082,2020-10-01,,
19442,684,2020-10-01,,
19443,530,2020-10-01,,
20201,372760,2020-10-01,,
20202,241145,2020-10-01,,
20203,154055,2020-10-01,,
